All Companies,Symbol,Lot Size (Aug 2025),Lot Size (Sep 2025),Lot Size (Oct 2025)
SSuzlon Energy,SUZLONBS,8000,8000,8000
SSyngene International,SYNGENEBS,1000,1000,1000
TTata Chemicals,TATACHEMBS,650,650,0
TTata Consumer Products,TATACONSUMBS,550,550,550
TTata Elxsi,TATAELXSIBS,100,100,100
TTata Motors,TATAMOTORSBS,800,800,800
TTata Power,TATAPOWERBS,1450,1450,1450
TTata Steel,TATASTEELBS,5500,5500,5500
TTata Technologies,TATATECHBS,800,800,800
TTata Consultancy Services,TCSBS,175,175,175
TTech Mahindra,TECHMBS,600,600,600
TTube Investment,TIINDIABS,200,200,200
TTitagarh Rail Systems,TITAGARHBS,725,725,725
TTitan,TITANBS,175,175,175
TTorrent Pharmaceuticals,TORNTPHARMBS,250,250,250
TTorrent Power,TORNTPOWERBS,375,375,375
TTrent,TRENTBS,100,100,100
TTVS Motors,TVSMOTORBS,350,350,350
UUltraTech Cement,ULTRACEMCOBS,50,50,50
UUnion Bank of India,UNIONBANKBS,4425,4425,4425
UUnited Spirits,UNITDSPRBS,400,400,400
UUNO Minda,UNOMINDABS,550,550,550
UUPL,UPLBS,1355,1355,1355
VVarun Beverages,VBLBS,1025,1025,1025
VVedanta,VEDLBS,1150,1150,1150
VVoltas,VOLTASBS,375,375,375
WWipro,WIPROBS,3000,3000,3000
YYes Bank,YESBANKBS,31100,31100,31100
ZZydus Life Science,ZYDUSLIFEBS,900,900,900
